Prel	transmission
0.765616	0.655186
0.765948	0.654672
0.766247	0.655247
0.766557	0.651711
0.766783	0.6525
0.767146	0.652187
0.767382	0.651564
0.767805	0.651418
0.768161	0.651912
0.768228	0.653041
0.768665	0.652876
0.76906	0.6536
0.769218	0.65566
0.769588	0.653913
0.769874	0.651588
0.770195	0.653939
0.770424	0.65242
0.770522	0.651711
0.771009	0.651423
0.771276	0.651094
0.771573	0.651825
0.771957	0.652366
0.772108	0.652786
0.772366	0.653872
0.772686	0.655788
0.773176	0.654853
0.773338	0.65324
0.773652	0.651698
0.773863	0.651215
0.774195	0.653448
0.77447	0.654091
0.774596	0.653385
0.77497	0.644774
0.775333	0.644721
0.77559	0.652552
0.775837	0.643413
0.776147	0.644502
0.776521	0.647331
0.776693	0.654699
0.777127	0.65408
0.777268	0.652563
0.777691	0.653128
0.777913	0.652952
0.778156	0.649948
0.778568	0.650011
0.77879	0.653892
0.778988	0.649868
0.779425	0.650026
0.779474	0.650963
0.779904	0.645521
0.780239	0.650006
0.780429	0.653007
0.780803	0.65143
0.781088	0.652464
0.781222	0.650855
0.781554	0.653593
0.7818	0.644801
0.782146	0.644636
0.78234	0.647999
0.782727	0.648971
0.782875	0.649724
0.783267	0.644073
0.783577	0.644285
0.783721	0.643062
0.784186	0.644111
0.78438	0.643793
0.784507	0.640148
0.784927	0.64003
0.785194	0.642776
0.78549	0.640888
0.785779	0.646339
0.786121	0.643901
0.786389	0.643541
0.786583	0.64275
0.78695	0.643478
0.787094	0.642146
0.787387	0.646504
0.787802	0.645637
0.788056	0.644732
0.78819	0.64422
0.788634	0.64521
0.788736	0.645818
0.789103	0.645373
0.789455	0.643856
0.789691	0.644605
0.79009	0.643744
0.790231	0.642933
0.790587	0.643375
0.790795	0.644305
0.791084	0.646913
0.791327	0.643934
0.791651	0.645865
0.79182	0.641214
0.792226	0.641163
0.792412	0.641232
0.792729	0.645402
0.792997	0.646656
0.793262	0.645905
0.79354	0.646623
0.793826	0.646725
0.794206	0.645617
0.794305	0.64586
0.79471	0.645481
0.79483	0.644289
0.795098	0.644754
0.795433	0.646978
0.795866	0.645436
0.795923	0.646205
0.796282	0.647032
0.796444	0.646379
0.796779	0.650046
0.797043	0.643284
0.79741	0.651946
0.797554	0.651521
0.797949	0.649362
0.798354	0.649358
0.798411	0.653019
0.798668	0.653555
0.798939	0.653421
0.79919	0.653019
0.799532	0.652181
0.799796	0.651631
0.800117	0.655177
