Prel	transmission
0.993473	1.02786
0.993442	1.0228
0.993518	1.02244
0.993403	1.022
0.993407	1.02244
0.993372	1.0166
0.99348	1.0186
0.993365	1.0207
0.993403	1.01903
0.993344	1.01956
0.993372	1.01772
0.993365	1.01758
0.993271	1.01425
0.993285	1.01386
0.993181	1.01354
0.993226	1.01418
0.993195	1.01354
0.993139	1.01478
0.993094	1.01327
0.993091	1.01352
0.99307	1.01277
0.992983	1.01253
0.993028	1.01303
0.992973	1.01473
0.992969	1.01575
0.992976	1.01324
0.992969	1.01178
0.992969	1.01295
0.992875	1.01357
0.992712	1.01242
0.992917	1.01147
0.992719	1.01366
0.992712	1.01442
0.992799	1.01457
0.992705	1.01415
0.99275	1.01325
0.992646	1.01258
0.992615	1.01012
0.992625	1.01098
0.992587	1.01352
0.992556	1.01225
0.992497	1.01174
0.992521	1.0139
0.992566	1.00994
0.992392	1.01067
0.992382	1.00924
0.992434	1.0116
0.992417	1.00995
0.99242	1.01352
0.992326	1.00933
0.992292	1.01003
0.992198	1.01292
0.992326	1.01246
0.992299	1.01072
0.99226	1.0114
0.992295	1.01307
0.992222	1.01215
0.992177	1.01272
0.992184	1.01257
0.992149	1.01242
0.992128	1.01117
0.991993	1.01477
0.992	1.01053
0.991972	1.01595
0.991924	1.00934
0.991878	1.01397
0.991868	1.01512
0.991844	1.0145
0.991788	1.00904
0.991844	1.01228
0.991812	1.01373
0.991767	1.01316
0.991687	1.01593
0.991746	1.01423
0.991625	1.01218
0.991809	1.01167
0.991541	1.01026
0.991746	1.01169
0.99166	1.01533
0.991534	1.01318
0.991448	1.01368
0.991448	1.00546
0.991416	1.01328
0.991343	1.01349
0.991343	1.01057
0.991204	1.01248
0.991093	1.01425
0.991079	1.0132
0.991191	1.00697
0.991079	1.0107
0.991027	1.01465
0.99102	1.01591
0.990927	1.01231
0.990934	1.01205
0.990861	1.01075
0.990676	1.01148
0.990683	1.01124
0.990635	1.00674
0.990586	1.01056
0.990524	1.00791
0.990638	1.00699
0.99061	1.01022
0.99052	1.01108
0.990458	1.0154
0.990409	1.01458
0.990399	1.01171
0.990242	1.01446
0.990183	1.0108
0.990187	1.01004
0.989999	1.01192
0.990117	1.01282
0.990124	1.01073
0.990055	1.01093
0.989891	1.01071
0.989808	1.01058
0.989707	1.00516
0.989718	1.0091
0.989565	1.00986
0.989447	1.00323
0.989454	1.00907
0.989322	1.00625
0.989405	1.00875
0.989346	1.00896
0.989277	1.0081
0.989141	1.0081
0.989051	1.00885
0.988978	1.00899
0.988887	1.0065
0.98878	1.00856
0.988877	1.00145
0.988606	1.00759
0.988707	1.00657
0.988603	1.00782
0.988502	1.00718
0.988419	1.00641
0.988377	1.00779
0.988207	1.00732
0.988221	1.00607
0.988071	1.00754
0.988061	1.00426
0.987981	1.00276
0.9878	1.00209
0.987779	1.00866
0.987696	1.00915
0.987665	1.00933
0.987658	1.00951
0.987536	1.01015
0.987376	1.00599
0.987276	1.00574
0.987265	1.00713
0.987258	1.00434
0.987196	1.00513
0.987057	1.00424
0.986897	1.00804
0.986814	1.0043
0.986633	1.00741
0.986605	1.0041
0.986588	1.00183
0.986452	1.00055
0.986268	1.00585
0.986161	0.999531
0.986077	1.00251
0.986032	1.00199
0.986025	1.00195
0.98589	1.0026
0.985744	0.99824
0.985681	1.00138
0.985518	0.999601
0.985386	1.00311
0.985383	1.0033
0.985202	0.999131
0.98523	0.997896
0.985164	0.99864
0.984882	0.996164
0.984834	0.998787
0.98466	0.997637
0.984559	1.00016
0.98458	0.997798
0.984472	0.998142
0.984254	0.997581
