Pcell	transmission
140.497	26310.8
140.504	26292.6
140.494	26274.5
140.506	26256.3
140.498	26238
140.497	26219.8
140.502	26201.6
140.496	26183.3
140.495	26165.1
140.493	26146.8
140.484	26128.7
140.496	26110.5
140.48	26092.4
140.493	26074.2
140.495	26056.1
140.486	26037.9
140.493	26019.7
140.48	26001.6
140.481	25983.6
140.463	25965.6
140.492	25947.6
140.47	25929.7
140.474	25911.8
140.492	25893.7
140.471	25875.8
140.475	25857.8
140.465	25839.9
140.463	25822.1
140.471	25804.3
140.471	25786.4
140.465	25768.6
140.461	25750.8
140.477	25733
140.472	25715
140.46	25697.2
140.464	25679.3
140.461	25661.4
140.463	25643.5
140.454	25625.7
140.46	25607.9
140.462	25590
140.466	25572.1
140.459	25554.2
140.459	25536.2
140.462	25518.2
140.46	25500.3
140.46	25482.2
140.461	25464.2
140.461	25446.1
140.468	25428
140.462	25409.8
140.46	25391.6
140.456	25373.4
140.466	25355.2
140.455	25337
140.462	25318.8
140.462	25300.5
140.457	25282.2
140.456	25264
140.447	25245.8
140.445	25227.7
140.458	25209.5
140.441	25191.4
140.442	25173.4
140.437	25155.4
140.441	25137.5
140.419	25119.7
140.44	25101.9
140.41	25084.3
140.415	25066.8
140.44	25049.2
140.44	25031.5
140.438	25013.8
140.403	24996.2
140.407	24978.7
140.442	24961.1
140.408	24943.6
140.401	24926.2
140.404	24908.8
140.441	24891.3
140.401	24873.8
140.421	24856.2
140.401	24838.8
140.421	24821.2
140.403	24803.6
140.401	24786.1
140.401	24768.7
140.401	24751.2
140.41	24733.6
140.395	24716.1
140.399	24698.6
140.393	24681.1
140.395	24663.7
140.386	24646.2
140.38	24628.9
140.375	24611.6
140.373	24594.4
140.379	24577.1
140.378	24559.9
140.38	24542.7
140.369	24525.5
140.365	24508.3
140.357	24491.2
140.363	24474.2
140.38	24457
140.346	24439.9
140.357	24422.9
140.338	24405.9
140.357	24388.9
140.344	24372
140.343	24355.1
140.34	24338.2
140.335	24321.3
140.339	24304.5
140.336	24287.6
140.338	24270.7
140.334	24253.8
140.329	24236.9
140.34	24219.9
140.339	24202.8
140.315	24185.9
140.326	24168.9
140.315	24151.9
140.337	24134.8
140.336	24117.7
140.336	24100.4
140.315	24083.2
140.336	24065.8
140.315	24048.5
140.332	24031.1
140.333	24013.6
140.316	23996.1
140.327	23978.6
140.32	23961.1
140.315	23943.5
140.321	23926
140.316	23908.4
140.314	23890.8
140.313	23873.3
140.313	23855.7
140.307	23838.1
140.313	23820.5
140.308	23802.9
140.314	23785.3
140.3	23767.7
140.292	23750.2
140.286	23732.8
140.298	23715.4
140.303	23697.9
140.279	23680.5
140.275	23663.3
140.291	23646
140.286	23628.7
140.285	23611.4
140.285	23594.1
140.288	23576.8
140.287	23559.4
140.304	23541.8
140.3	23524.1
140.305	23506.3
140.299	23488.5
140.315	23470.4
140.29	23452.4
140.297	23434.4
140.312	23416.2
140.282	23398.1
140.285	23380.1
140.281	23362.1
